REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex
420061551442725,16281.410,10814.971,-11.7084,301.5642380,44.4574830,12.65805,0.333604,12.53,0.19,2425356.845733,48236.4400000,-9.3574,-11.9982,3.50,4119.5950000,1674.7200000,76.24,0.288,0.0000730,11.21,0.0132500,9.0175,0.00,13.639938,0.193105,3.164887,-0.295301,0.453,143663284,rh,224,113705,108,0,1349451776,52,47,40,32,24,18,6,2,76,0,1246,31,0,0,6,99,9999,108,2285,12.53,99.00,301.564720,44.457083,-11.6,-10.0,0,0,0.0007,0
420061551442725,16176.322,10633.461,-13.1309,301.5649690,44.4571400,12.48832,0.329002,12.36,0.14,2425408.781192,178801.0000000,-10.3813,-13.0481,3.50,2373.5400000,3335.1170000,71.75,0.389,0.0001300,10.79,0.0127450,8.8966,0.00,14.780167,0.154538,2.639717,-0.243091,0.403,143663284,rh,314,204069,142,0,1349451776,93,90,82,72,60,44,39,23,141,0,1246,31,0,0,6,99,9999,142,1870,12.36,99.00,301.564719,44.457083,-11.6,-10.0,0,0,0.0007,0
420061551442725,16300.630,10933.276,-10.7797,301.5647180,44.4569410,12.359815,0.281908,12.21,0.27,2425518.555627,20505.6300000,-8.9400,-11.2434,3.50,5235.1810000,1142.7070000,-89.40,0.488,0.0000360,8.85,0.0104520,9.0872,0.00,12.725199,0.2258,2.873543,-0.259213,0.404,143663284,rh,559,143054,108,0,1349451776,24,24,19,16,11,6,2,2,65,0,1246,31,0,0,6,99,9999,108,1871,12.21,99.00,301.564718,44.457082,-11.6,-10.0,0,0,0.0007,0
420061551442725,16476.562,10666.189,-10.8569,301.5641350,44.4569270,12.801446,0.288452,12.39,0.27,2425521.561879,22017.9300000,-9.1666,-11.1644,3.50,4037.4440000,1450.4220000,-89.53,0.636,0.0000290,7.58,0.0089500,9.3046,0.00,12.72398,0.16957,2.359944,-0.026822,0.411,143663284,rh,567,92660,108,8192,1349386240,21,20,20,17,14,9,7,3,37,0,1247,31,0,0,7,99,9999,108,2285,12.39,99.00,301.564718,44.457082,-11.6,-10.0,0,0,0.0007,0
420061551442725,16124.633,10404.872,-12.2271,301.5652760,44.4570580,12.370324,0.308128,12.28,0.12,2425735.794918,77775.5300000,-9.3530,-12.3077,3.50,3860.9720000,1396.0140000,1.83,0.247,0.0001370,11.19,0.0132190,8.8474,0.00,13.963522,0.152659,3.095427,-0.338269,0.469,143663284,rh,1144,149626,108,0,1349451776,100,94,80,72,59,45,30,12,113,0,1196,31,0,0,6,99,9999,108,1780,12.28,99.00,301.564715,44.45708,-11.6,-10.0,0,0,0.0007,0
420061551442725,16372.640,10610.095,-12.2998,301.5652140,44.4570600,12.728469,0.178372,12.42,0.12,2425765.768029,83161.2400000,-9.6675,-12.3386,3.50,4065.1220000,1858.0660000,2.61,0.269,0.0001070,9.22,0.0108890,9.1872,0.00,13.91828,0.155443,2.304964,-0.085961,0.419,143663284,rh,1232,167934,108,0,1349453824,79,76,69,61,48,38,26,17,108,0,1247,31,0,0,7,99,9999,108,1871,12.38,0.10,301.564715,44.45708,-11.6,-10.0,0,0,0.0007,0
420061551442725,16183.385,10692.654,-11.2448,301.5660230,44.4572590,12.594514,0.194086,12.37,0.19,2425825.671724,31472.5100000,-8.7710,-12.0108,6.00,4018.8290000,992.8089000,31.75,0.234,0.0000730,13.41,0.0158330,8.8965,0.00,12.379509,0.112388,3.226122,-0.148553,0.398,143663284,rh,1382,193299,108,8192,1349386240,52,47,42,32,24,16,6,3,56,0,1246,31,0,0,6,99,9999,108,2176,12.37,99.00,301.564714,44.45708,-11.6,-10.0,0,0,0.0007,0
420061551442725,16317.182,11017.477,-12.3587,301.5658950,44.4572490,12.41168,0.22664,12.30,0.15,2426133.790046,87793.4100000,-9.2932,-12.5264,3.51,2112.3680000,1628.0350000,-79.48,0.129,0.0001210,10.71,0.0126570,9.1088,0.00,12.847377,0.130403,2.526598,-0.265453,0.405,143663284,rh,2195,210791,143,0,1349453824,87,81,72,69,58,44,31,9,34,0,1296,31,0,0,6,99,9999,143,1871,12.34,0.10,301.564710,44.457077,-11.6,-10.0,0,0,0.0007,0
420061551442725,16319.816,10459.245,-12.0774,301.5636640,44.4557740,12.186413,0.201499,12.01,0.18,2426143.767648,67757.5700000,-9.6980,-11.9772,3.50,2356.3300000,2011.7440000,81.68,0.205,0.0000820,13.69,0.0161800,9.1356,0.00,13.15657,0.180713,3.036786,-0.198091,0.404,143663284,rh,2209,169933,143,0,1349453824,59,55,50,40,30,18,9,3,48,0,1196,31,0,0,6,99,9999,143,1439,11.96,0.12,301.564710,44.457077,-11.6,-10.0,0,0,0.0007,0
420061551442725,16306.369,10717.118,-12.2854,301.5642890,44.4569670,12.810966,0.179466,12.59,0.36,2426155.689950,82062.9100000,-9.6341,-12.5116,3.74,1679.6730000,1890.2000000,21.38,0.145,0.0001070,8.95,0.0105640,9.0424,0.00,12.790282,0.119129,3.212667,-0.19763,0.427,143663284,rh,2238,247827,143,8192,1349386240,80,77,65,56,46,31,19,11,61,0,1246,31,0,0,6,99,9999,143,1871,12.59,99.00,301.564710,44.457077,-11.6,-10.0,0,0,0.0007,0
