REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex,isodate,decimalyear
420061551442725,1749.351,14110.164,-14.7142,301.5648210,44.4570770,13.058751,0.176627,12.38,0.13,2427861.894753,768545.6000000,-12.3236,-14.8125,3.50,3946.2370000,3660.6460000,79.12,0.507,0.0001390,23.85,0.0116950,3.7466,0.00,15.3894,0.134409,1.400117,0.142569,0.609,143663284,ir,374,334891,131,128,1483672576,569,479,384,307,240,184,132,69,110,0,1605,20,0,0,6,99,9999,131,649,12.16,0.12,301.564689,44.457064,-11.6,-10.0,0,0,0.0007,0,1935-02-28 09:28:26.659,1935.1599856246569
420061551442725,1732.791,13725.483,-14.4596,301.5646910,44.4572950,13.002908,0.255484,12.39,0.21,2427862.896191,607896.0000000,-12.4184,-14.5729,3.82,3510.4230000,4071.6770000,70.28,0.379,0.0001250,15.58,0.0076420,3.7015,0.00,15.917353,0.148022,1.200714,0.075817,0.599,143663284,ir,379,494839,129,0,1349454848,518,436,323,234,173,126,90,53,202,0,1554,20,0,0,6,99,9999,129,667,12.25,0.18,301.564689,44.457064,-11.6,-10.0,0,0,0.0007,0,1935-03-01 09:30:30.902,1935.1627292904109
420061551442725,2182.035,14235.317,-14.6394,301.5647700,44.4571680,12.761681,0.229913,12.28,0.18,2427870.889023,717382.0000000,-12.5515,-14.7254,3.50,3333.4750000,4396.0600000,55.14,0.360,0.0001200,15.47,0.0075910,3.5815,0.00,16.275955,0.125382,1.089398,0.02244,0.559,143663284,ir,399,447933,131,128,1483670528,495,438,325,234,182,142,103,66,178,0,1606,20,0,0,5,99,9999,131,668,12.28,99.00,301.564689,44.457064,-11.6,-10.0,0,0,0.0007,0,1935-03-09 09:20:11.587,1935.1846274602738
420061551442725,1990.885,13898.893,-14.6985,301.5647930,44.4569960,12.929806,0.181192,12.42,0.13,2427875.881710,757512.9000000,-12.4875,-14.8476,4.31,3414.8340000,4072.1980000,-87.42,0.427,0.0001020,17.97,0.0088170,3.5966,0.00,15.237004,0.114947,1.155248,0.040744,0.545,143663284,ir,404,278351,129,0,1349453824,424,373,318,269,220,171,123,79,102,0,1555,20,0,0,5,99,9999,129,667,12.32,0.08,301.564689,44.457064,-11.6,-10.0,0,0,0.0007,0,1935-03-14 09:09:39.744,1935.198306054794
420061551442725,1613.838,15269.574,-14.4979,301.5645470,44.4573260,12.949334,0.210446,12.37,0.14,2427890.859178,629750.7000000,-12.4372,-14.6331,3.91,3889.8660000,3853.8080000,64.27,0.370,0.0001030,15.42,0.0075600,4.0899,0.00,16.066727,0.10252,1.048593,0.133908,0.507,143663284,ir,444,460551,131,0,1349454848,432,383,288,229,192,146,107,69,166,0,1704,20,0,0,6,99,9999,131,703,12.26,0.16,301.564688,44.457064,-11.6,-10.0,0,0,0.0007,0,1935-03-29 08:37:12.979,1935.239340213699
420061551442725,1801.470,14493.692,-13.5627,301.5644110,44.4570820,12.910428,0.144556,12.34,0.12,2427892.821925,266115.8000000,-12.1556,-13.5945,3.54,3423.1910000,3291.7800000,79.83,0.423,0.0000570,10.97,0.0053800,3.8249,0.00,15.089191,0.121458,1.222533,0.045228,0.578,143663284,ir,448,634905,129,0,1349451776,243,205,159,136,114,87,62,36,107,0,1655,20,0,0,6,99,9999,129,1099,12.34,99.00,301.564688,44.457064,-11.6,-10.0,0,0,0.0007,0,1935-03-31 07:43:34.320,1935.2447176027392
420061551442725,1636.571,14256.284,-14.6514,301.5648270,44.4570100,12.927365,0.172357,12.41,0.12,2427896.831227,725372.0000000,-12.5137,-14.7098,3.72,3597.4930000,4149.4990000,80.83,0.593,0.0001020,19.94,0.0097730,3.8262,0.00,16.38533,0.12435,1.18319,0.048626,0.531,143663284,ir,452,440028,129,0,1349454848,427,381,314,268,213,171,139,90,235,0,1604,20,0,0,6,99,9999,129,667,12.29,0.11,301.564688,44.457064,-11.6,-10.0,0,0,0.0007,0,1935-04-04 07:56:58.013,1935.2557019917804
420061551442725,2155.823,14365.081,-13.2094,301.5643260,44.4571030,12.727087,0.170713,12.29,0.12,2427897.821952,192201.3000000,-12.2054,-13.2320,3.50,3596.8290000,3571.9040000,71.32,0.230,0.0000340,7.87,0.0038620,3.6421,0.00,15.013701,0.130931,0.849672,-0.018649,0.545,143663284,ir,453,599730,129,128,1483669506,141,122,103,86,70,54,45,26,115,0,1606,20,0,0,5,99,9999,129,1099,12.29,99.00,301.564688,44.457064,-11.6,-10.0,0,0,0.0007,0,1935-04-05 07:43:36.653,1935.2584163068489
420061551442725,1631.681,14416.031,-14.3722,301.5645080,44.4571460,12.944102,0.160988,12.46,0.11,2427899.827300,560874.7000000,-12.4433,-14.4293,3.50,3662.6550000,3965.5470000,78.00,0.537,0.0000800,17.91,0.0087800,3.8622,0.00,15.354692,0.115259,1.024586,0.031807,0.522,143663284,ir,457,417499,129,0,1349454848,329,288,246,210,178,146,115,81,152,0,1604,20,0,0,6,99,9999,129,685,12.32,0.14,301.564688,44.457064,-11.6,-10.0,0,0,0.0007,0,1935-04-07 07:51:18.720,1935.263910410959
420061551442725,1681.642,14302.642,-14.6748,301.5648270,44.4572570,12.806984,0.182863,12.35,0.13,2427900.855080,741162.6000000,-12.5239,-14.7730,3.77,3518.6960000,4196.7430000,67.51,0.295,0.0001280,14.42,0.0070720,3.8366,0.00,15.629716,0.116644,1.180826,0.043856,0.470,143663284,ir,462,491069,129,0,1349454848,531,436,337,271,217,167,125,82,159,0,1604,20,0,0,6,99,9999,129,685,12.26,0.12,301.564688,44.457064,-11.6,-10.0,0,0,0.0007,0,1935-04-08 08:31:18.912,1935.2667262465757
