REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex
420061551442725,3429.848,10676.067,-11.7264,301.5656740,44.4585200,13.10683,0.344772,12.38,0.20,2423506.863730,49042.1100000,-8.1940,-12.2282,5.33,4950.7550000,1319.2340000,-3.10,0.178,0.0002640,11.87,0.0245180,11.0894,0.00,13.033564,0.187731,6.188913,0.255024,0.522,143663284,ax,81,200998,108,0,1349451776,64,61,49,37,33,19,10,5,184,0,1209,43,0,0,3,99,9999,108,1857,12.38,99.00,301.564743,44.457097,-11.6,-10.0,0,0,0.0007,0
420061551442725,14853.848,6395.752,-11.9512,301.5640010,44.4578610,12.727754,0.275897,12.46,0.19,2423553.799315,60320.4000000,-8.2573,-12.2457,5.24,2865.0870000,1578.8640000,-48.62,0.083,0.0002660,8.83,0.0177470,15.9347,0.00,12.570634,0.104044,4.6516,-0.139353,0.437,143663284,ax,107,146731,132,8192,1349388288,66,61,54,46,36,25,19,6,66,0,742,43,0,0,6,99,9999,132,1779,12.51,0.13,301.564742,44.457097,-11.6,-10.0,0,0,0.0007,0
420061551442725,3238.685,10269.662,-11.6323,301.5651760,44.4563880,12.883044,0.245243,12.51,0.19,2423701.540189,44967.8400000,-8.3489,-11.8727,4.35,4491.1270000,1571.5230000,17.17,0.270,0.0002230,7.00,0.0144810,11.6042,0.00,13.558942,0.162637,3.68155,-0.012702,0.409,143663284,ax,266,343130,108,0,1349453824,52,49,42,36,26,18,16,8,356,0,1159,43,0,0,3,99,9999,108,2163,12.44,0.14,301.564740,44.457096,-11.6,-10.0,0,0,0.0007,0
