REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex,isodate,decimalyear
420061551442725,1408.061,10858.518,-12.3231,301.5635870,44.4575180,12.847923,0.194325,12.55,0.14,2437849.647899,84966.5200000,-9.3133,-12.4239,4.74,3175.6010000,2674.2480000,9.99,0.048,0.0001960,5.75,0.0094830,16.8264,0.00,14.603723,0.182616,4.20519,0.054008,0.273,143663284,dny,2,615185,130,128,1349453824,73,68,58,48,39,30,23,11,496,0,1553,13,0,0,8,99,9999,130,1910,12.47,0.12,301.564565,44.456988,-11.6,-10.0,0,0,0.0075,0,1962-07-04 03:32:58.474,1962.5045147917808
420061551442725,14444.007,2143.046,-12.6674,301.5643240,44.4570580,12.102624,0.190521,12.41,0.17,2439766.544914,116666.4000000,-9.7942,-12.7652,3.50,3260.1660000,3702.1490000,-68.16,0.300,0.0001870,6.49,0.0100370,17.1418,0.00,15.053851,0.173237,3.382929,-0.004114,0.245,143663284,dny,73,108430,99,128,1349451778,78,70,58,45,33,29,20,11,907,0,241,13,0,0,8,99,9999,99,1707,12.41,99.00,301.564602,44.456951,-11.6,-10.0,0,0,0.0007,0,1967-10-03 01:04:40.570,1967.7535477095896
420061551442725,1855.252,19775.498,-11.8005,301.5640770,44.4571060,12.274123,0.156351,12.49,0.13,2440029.730854,52505.0400000,-9.3572,-11.9352,3.50,3624.0010000,2586.9400000,-77.26,0.334,0.0001240,5.45,0.0088460,19.0185,0.00,13.858054,0.199628,2.506822,0.063871,0.249,143663284,dny,117,749434,130,128,1349453824,47,40,30,26,21,17,12,6,489,0,2255,13,0,0,8,99,9999,130,2017,12.45,0.08,301.564538,44.456972,-11.6,-10.0,0,0,0.0007,0,1968-06-22 05:32:25.786,1968.4733083442623
420061551442725,8295.734,1692.053,-11.9557,301.5650230,44.4571110,12.183226,0.171162,12.51,0.16,2440064.690091,60571.8500000,-8.6729,-12.0598,3.69,3089.4920000,1526.2690000,42.00,0.260,0.0001870,8.49,0.0141730,16.0137,0.00,13.748887,0.152995,4.57935,-0.025406,0.241,143663284,dny,120,46839,98,128,1349453824,67,63,58,44,36,31,22,10,253,0,173,13,0,0,7,99,9999,98,2096,12.47,0.17,301.564598,44.456948,-11.6,-10.0,0,0,0.0007,0,1968-07-27 04:33:43.862,1968.5688253852456
420061551442725,8759.889,1962.478,-12.5167,301.5641680,44.4572410,12.007078,0.159547,12.34,0.19,2440116.548836,101547.1000000,-8.8720,-12.6868,3.95,3674.9270000,1878.3500000,80.83,0.110,0.0002840,9.03,0.0150690,15.5196,0.00,14.314308,0.175929,4.480314,-0.017524,0.241,143663284,dny,127,64238,98,128,1349451777,102,97,82,69,58,44,29,17,511,0,225,13,0,0,7,99,9999,98,1683,12.34,99.00,301.564597,44.456948,-11.6,-10.0,0,0,0.0007,0,1968-09-17 01:10:19.430,1968.7105159453547
420061551442725,926.370,3377.369,-12.5085,301.5646950,44.4576230,12.145548,0.147032,12.39,0.10,2440394.744734,100783.4000000,-9.3929,-12.6020,3.50,2724.1840000,2713.4440000,65.49,0.234,0.0002600,5.94,0.0096210,18.5741,0.00,14.585663,0.170733,3.739083,0.045433,0.246,143663284,dny,179,109236,126,128,1349451779,97,86,61,50,40,31,22,10,519,0,352,13,0,0,8,99,9999,126,2034,12.39,99.00,301.564534,44.456969,-11.6,-10.0,0,0,0.0007,0,1969-06-22 05:52:25.018,1969.4719033808217
