REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex
420061551442725,14659.605,2383.802,-10.7704,301.5650410,44.4569610,12.12583,0.244841,12.64,0.25,2439766.544914,20330.8300000,-8.7985,-10.9092,3.50,3666.7980000,1664.5130000,-69.53,0.186,0.0000620,4.10,0.0065990,17.6021,0.00,13.28204,0.165912,2.718229,0.009669,0.195,143663284,dnr,65,96790,98,128,1349453824,25,23,20,17,13,9,7,3,363,0,292,12,0,0,8,99,9999,98,2121,12.58,0.13,301.564602,44.456951,-11.6,-10.0,0,0,0.0007,0
420061551442725,888.415,3544.851,-11.6614,301.5653010,44.4569800,11.608145,0.259759,12.17,0.19,2440394.744734,46191.3000000,-8.2512,-11.8932,5.57,3062.5360000,1362.4280000,51.02,0.245,0.0001880,8.96,0.0145810,18.5507,0.00,12.949471,0.126252,4.109668,-0.073345,0.196,143663284,dnr,179,174055,129,128,1349453824,74,71,66,52,37,20,14,5,200,0,402,12,0,0,8,99,9999,129,1638,12.20,0.13,301.564534,44.456969,-11.6,-10.0,0,0,0.0007,0
420061551442725,2383.094,19280.156,-11.6432,301.5655680,44.4582360,11.753762,0.230602,12.28,0.20,2440411.691797,45423.8100000,-8.8072,-11.7977,5.01,3821.8190000,1749.1900000,-23.28,0.274,0.0001300,7.99,0.0131470,17.9340,0.00,13.081277,0.139754,2.237282,-0.044184,0.197,143663284,dnr,181,674111,130,192,1349453824,50,47,41,34,29,22,14,7,208,0,2156,12,0,0,8,99,9999,130,2018,12.32,0.10,301.564534,44.456969,-11.6,-10.0,0,0,0.0007,0
420061551442725,8298.097,2033.283,-10.5044,301.5652220,44.4567480,12.051221,0.284053,12.59,0.23,2442369.542942,15913.5100000,-8.4874,-10.7430,3.50,3059.1220000,1737.6950000,79.16,0.254,0.0000540,4.29,0.0072300,15.5413,0.00,13.031325,0.159961,2.821224,-0.087642,0.258,143663284,dnr,572,62239,98,8320,1349386240,20,18,16,12,10,4,2,2,273,0,223,12,0,0,7,99,9999,98,2528,12.59,99.00,301.564569,44.456931,-11.6,-10.0,0,0,0.0007,0
420061551442725,8869.136,1801.181,-10.6318,301.5642120,44.4572390,12.145793,0.249477,12.65,0.21,2442400.457902,17894.4700000,-8.5857,-10.7908,3.50,3998.6180000,1420.2030000,77.37,0.240,0.0000590,4.68,0.0078400,15.8883,0.00,13.330283,0.173626,2.673655,-0.05332,0.259,143663284,dnr,584,44419,98,128,1349451776,21,21,21,17,12,11,5,3,436,0,225,12,0,0,7,99,9999,98,2097,12.65,99.00,301.564569,44.456931,-11.6,-10.0,0,0,0.0007,0
420061551442725,2393.464,11027.437,-10.0043,301.5651350,44.4569270,11.844959,0.357316,12.37,0.28,2442624.644299,10039.6100000,-7.4781,-10.4695,5.41,3867.7990000,535.5000000,83.58,0.368,0.0000830,6.63,0.0114340,11.1467,0.00,12.886334,0.214513,3.904308,0.019751,0.195,143663284,dnr,685,428023,129,8320,1349453824,28,23,20,18,15,13,7,5,248,0,1256,12,0,0,4,99,9999,129,2558,12.51,0.15,301.564506,44.456952,-11.6,-10.0,0,0,0.0007,0
420061551442725,7986.534,2013.650,-11.5678,301.5659960,44.4567690,12.023559,0.209941,12.50,0.19,2443812.548528,42377.7600000,-9.3179,-11.7517,3.50,2881.6000000,2566.9090000,-51.55,0.246,0.0000850,5.05,0.0085010,15.6032,0.00,13.395491,0.149415,3.139607,-0.019656,0.223,143663284,dnr,998,50387,98,128,1349451776,30,26,24,21,18,11,8,4,349,0,222,12,0,0,7,99,9999,98,2096,12.50,99.00,301.564552,44.45692,-11.6,-10.0,0,0,8.1e-05,0
