REFNumber,X_IMAGE,Y_IMAGE,MAG_ISO,ra,dec,magcal_iso,magcal_iso_rms,magcal_local,magcal_local_rms,ExposureDate,FLUX_ISO,MAG_APER,MAG_AUTO,KRON_RADIUS,BACKGROUND,FLUX_MAX,THETA_J2000,ELLIPTICITY,ISOAREA_WORLD,FWHM_IMAGE,FWHM_WORLD,plate_dist,Blendedmag,limiting_mag_local,magcal_local_error,dradRMS2,magcor_local,extinction,gsc_bin_index,series,plateNumber,NUMBER,versionId,AFLAGS,BFLAGS,ISO0,ISO1,ISO2,ISO3,ISO4,ISO5,ISO6,ISO7,npoints_local,rejectFlag,local_bin_index,seriesId,exposureNumber,solutionNumber,spatial_bin,mosaicNumber,quality,plateVersionId,magdep_bin,magcal_magdep,magcal_magdep_rms,ra_2,dec_2,RaPM,DecPM,A2FLAGS,B2FLAGS,timeAccuracy,maskIndex,isodate,decimalyear
420061551442725,7789.834,13911.030,-12.6405,301.5646760,44.4573270,12.818046,0.174748,12.27,0.14,2411698.539278,113819.1000000,-11.7025,-12.8409,4.66,4072.5280000,2408.9310000,73.91,0.327,0.0000200,10.27,0.0051180,1.5320,0.00,13.8336,0.140621,1.195892,-0.076669,0.591,143663284,i,2351,153223,98,0,1349453824,81,79,68,57,41,34,25,11,56,0,1572,19,0,0,1,99,9999,98,654,12.24,0.13,301.564948,44.457164,-11.6,-10.0,0,0,0.0007,0,1890-11-27 00:56:33.619,1890.9042172000004
420061551442725,7566.799,14124.573,-12.9120,301.5649330,44.4571130,12.91171,0.119889,12.28,0.13,2411720.480699,146144.5000000,-11.4494,-13.1445,4.71,3779.7980000,1901.2230000,86.86,0.391,0.0000380,14.09,0.0070200,1.6760,0.00,13.35963,0.167084,1.297118,-0.020445,0.597,143663284,i,2513,810087,98,128,1349453824,151,128,103,87,66,47,34,12,69,0,1621,19,0,0,2,99,9999,98,673,12.23,0.10,301.564948,44.457164,-11.6,-10.0,0,0,0.0007,0,1890-12-18 23:32:12.394,1890.9643306821915
420061551442725,7893.226,14103.401,-12.8653,301.5651420,44.4570500,13.022604,0.197528,12.34,0.12,2411746.448034,139997.3000000,-11.8030,-12.9664,3.50,3624.7260000,2770.8150000,52.08,0.270,0.0000290,8.38,0.0041810,1.6110,0.00,14.072451,0.104964,1.540488,-0.049177,0.735,143663284,i,2801,741969,98,0,1349451776,114,102,85,76,62,46,26,13,41,0,1622,19,0,0,2,99,9999,98,673,12.34,99.00,301.564948,44.457164,-11.6,-10.0,0,0,0.0007,0,1891-01-13 22:45:10.138,1891.0354740657538
420061551442725,3637.865,13166.537,-12.7924,301.5649240,44.4569970,12.721743,0.191962,12.20,0.17,2412347.606624,130905.2000000,-11.5820,-13.1585,4.69,4423.4120000,2053.1800000,-72.33,0.222,0.0000270,10.93,0.0054420,2.7698,0.00,13.699358,0.141322,1.331561,0.106999,0.402,143663284,i,6863,284135,98,128,1349453824,105,95,82,66,54,41,30,11,62,0,1460,19,0,0,3,99,9999,98,1043,12.13,0.13,301.564940,44.457159,-11.6,-10.0,0,0,0.0007,0,1892-09-06 02:33:32.314,1892.6806191912563
420061551442725,11124.451,13394.114,-12.5276,301.5650080,44.4577470,12.59068,0.131558,12.18,0.13,2412360.590226,102570.2000000,-11.6740,-12.7251,3.53,4023.0900000,2756.2440000,-14.04,0.293,0.0000240,9.32,0.0046460,1.7065,0.00,12.802204,0.093523,1.052455,0.023672,0.408,143663284,i,7092,516785,98,128,1349451776,93,83,62,44,37,28,17,11,56,0,1531,19,0,0,1,99,9999,98,658,12.18,99.00,301.564940,44.457159,-11.6,-10.0,0,0,0.0007,0,1892-09-19 02:09:55.526,1892.7160935136617
420061551442725,3668.608,12802.903,-12.5805,301.5649590,44.4574590,12.965733,0.168302,12.31,0.09,2412369.548073,107699.2000000,-11.6544,-12.6904,3.89,4051.6290000,2290.5710000,21.25,0.109,0.0000210,8.34,0.0041540,2.6677,0.00,12.677358,0.131147,0.858504,0.229814,0.402,143663284,i,7186,412131,98,8320,1349386240,82,75,72,61,51,43,30,14,66,0,1460,19,0,0,3,99,9999,98,1029,12.31,99.00,301.564940,44.457159,-11.6,-10.0,0,0,0.0007,0,1892-09-28 01:09:13.507,1892.740568505464
420061551442725,10800.311,12986.558,-13.0492,301.5649150,44.4572420,12.745414,0.125882,12.29,99.00,2412371.523501,165829.7000000,-11.9421,-13.0855,3.50,3918.2960000,2777.5040000,25.78,0.083,0.0000330,7.80,0.0038870,1.4325,0.00,14.631705,0.121311,1.352803,0.05405,0.399,143663284,i,7203,797580,98,4224,1349451776,136,125,109,94,80,63,43,24,109,0,1480,19,0,0,1,99,9999,98,638,12.29,99.00,301.564940,44.457159,-11.6,-10.0,0,0,0.0007,0,1892-09-30 00:33:50.486,1892.7459658497264
420061551442725,3496.984,12798.699,-13.1106,301.5647980,44.4571550,12.504716,0.177819,12.15,0.13,2412672.696871,175492.4000000,-11.6042,-13.2122,3.50,4312.2640000,2072.8550000,-17.76,0.238,0.0000350,11.37,0.0056570,2.7691,0.00,13.374763,0.139867,1.060105,-0.056463,0.399,143663284,i,8962,297028,98,0,1349451776,142,135,120,108,94,73,56,19,117,0,1459,19,0,0,3,99,9999,98,1028,12.15,99.00,301.564936,44.457157,-11.6,-10.0,0,0,0.0007,0,1893-07-28 04:43:29.654,1893.570402386301
420061551442725,10735.928,13087.683,-11.8220,301.5650620,44.4572640,12.702479,0.180786,12.21,0.16,2412674.755495,53555.6800000,-11.0139,-12.1836,5.13,5906.6610000,1289.4800000,-73.48,0.183,0.0000170,8.01,0.0039890,1.4618,0.00,13.565402,0.126612,0.909844,0.101679,0.421,143663284,i,8993,241747,98,128,1349451776,70,66,56,45,40,28,19,12,54,0,1480,19,0,0,1,99,9999,98,657,12.21,99.00,301.564936,44.457157,-11.6,-10.0,0,0,0.0007,0,1893-07-30 06:07:54.768,1893.5760424520552
420061551442725,3723.802,13120.336,-12.7255,301.5650280,44.4569220,12.674359,0.157118,12.25,0.20,2412684.662472,123079.0000000,-11.4855,-12.8466,3.50,3883.6570000,2337.7600000,82.85,0.240,0.0000300,11.60,0.0057730,2.7012,0.00,12.818708,0.191432,0.980425,0.012624,0.398,143663284,i,9114,327518,98,128,1349451776,118,100,79,61,46,29,14,7,75,0,1460,19,0,0,3,99,9999,98,1029,12.25,99.00,301.564936,44.457157,-11.6,-10.0,0,0,0.0007,0,1893-08-09 03:53:57.581,1893.603184854794
